# Nodes: 24 Edges: 276
Source,Target,Weight
Student 7,Student 12,3
Student 7,Student 13,3
Student 7,Student 14,2
Student 7,Student 15,2
Student 7,Student 16,3
Student 7,Student 17,3
Student 7,Student 18,3
Student 7,Student 19,2
Student 7,Student 20,3
Student 7,Student 21,2
Student 7,Student 22,3
Student 7,Student 23,3
Student 7,Student 24,2
Student 8,Student 9,2
Student 8,Student 10,3
Student 8,Student 11,3
Student 8,Student 12,3
Student 8,Student 13,3
Student 8,Student 14,2
Student 8,Student 15,2
Student 8,Student 16,3
Student 8,Student 17,3
Student 8,Student 18,3
Student 8,Student 19,2
Student 8,Student 20,3
Student 8,Student 21,2
Student 8,Student 22,3
Student 8,Student 23,3
Student 8,Student 24,2
Student 9,Student 10,2
Student 9,Student 11,2
Student 9,Student 12,2
Student 9,Student 13,2
Student 9,Student 14,1
Student 9,Student 15,1
Student 9,Student 16,2
Student 9,Student 17,2
Student 9,Student 18,2
Student 9,Student 19,2
Student 9,Student 20,2
Student 9,Student 21,2
Student 9,Student 22,2
Student 9,Student 23,2
Student 9,Student 24,1
Student 10,Student 11,3
Student 10,Student 12,3
Student 10,Student 13,3
Student 10,Student 14,2
Student 10,Student 15,2
Student 10,Student 16,3
Student 10,Student 17,3
Student 10,Student 18,3
Student 10,Student 19,2
Student 10,Student 20,3
Student 10,Student 21,2
Student 10,Student 22,3
Student 10,Student 23,3
Student 10,Student 24,2
Student 11,Student 12,3
Student 11,Student 13,3
Student 11,Student 14,2
Student 11,Student 15,2
Student 11,Student 16,3
Student 11,Student 17,3
Student 11,Student 18,3
Student 11,Student 19,2
Student 11,Student 20,3
Student 11,Student 21,2
Student 11,Student 22,3
Student 11,Student 23,3
Student 11,Student 24,2
Student 12,Student 13,3
Student 12,Student 14,2
Student 12,Student 15,2
Student 12,Student 16,3
Student 12,Student 17,3
Student 12,Student 18,3
Student 12,Student 19,2
Student 12,Student 20,3
Student 12,Student 21,2
Student 12,Student 22,3
Student 12,Student 23,3
Student 12,Student 24,2
Student 13,Student 14,2
Student 13,Student 15,2
Student 13,Student 16,3
Student 13,Student 17,3
Student 13,Student 18,3
Student 13,Student 19,2
Student 13,Student 20,3
Student 13,Student 21,2
Student 13,Student 22,3
Student 13,Student 23,3
Student 13,Student 24,2
Student 14,Student 15,2
Student 14,Student 16,2
Student 14,Student 17,2
Student 14,Student 18,2
Student 14,Student 19,1
Student 14,Student 20,2
Student 14,Student 21,1
Student 14,Student 22,2
Student 14,Student 23,2
Student 14,Student 24,2
Student 15,Student 16,2
Student 15,Student 17,2
Student 15,Student 18,2
Student 15,Student 19,1
Student 15,Student 20,2
Student 15,Student 21,1
Student 15,Student 22,2
Student 15,Student 23,2
Student 15,Student 24,2
Student 16,Student 17,3
Student 16,Student 18,3
Student 16,Student 19,2
Student 16,Student 20,3
Student 16,Student 21,2
Student 16,Student 22,3
Student 16,Student 23,3
Student 16,Student 24,2
Student 17,Student 18,3
Student 17,Student 19,2
Student 17,Student 20,3
Student 17,Student 21,2
Student 17,Student 22,3
Student 17,Student 23,3
Student 17,Student 24,2
Student 18,Student 19,2
Student 18,Student 20,3
Student 18,Student 21,2
Student 18,Student 22,3
Student 18,Student 23,3
Student 18,Student 24,2
Student 19,Student 20,2
Student 19,Student 21,2
Student 19,Student 22,2
Student 19,Student 23,2
Student 19,Student 24,1
Student 20,Student 21,2
Student 20,Student 22,3
Student 20,Student 23,3
Student 20,Student 24,2
Student 21,Student 22,2
Student 21,Student 23,2
Student 21,Student 24,1
Student 22,Student 23,3
Student 22,Student 24,2
Student 23,Student 24,2
